E,j,gamma,g,allowed transitions,HF
31799.3,3.5,247416868.06705472,1.3126,"[2321.66, 9124.31, 13175.62, 14522.13, 17216.64, 22984.2, 27534.45, 30286.07, 31931.43, 32746.91, 9723.7, 15428.71, 18331.22, 24014.42, 27333.41, 32741.66, 34698.13, 36853.11, 36952.85, 37823.74, 11594.54, 16944.85, 25183.8, 27716.6, 32603.06, 37800.65, 39251.26, 39889.95, 41947.76, 42388.06]","[2, 3, 4, 5]"
31846.87,0.5,96321849.41021693,1.3126,"[7683.25, 17056.18, 20516.16, 26108.44, 28777.77, 33177.64, 36135.67, 36617.92, 36918.81, 37326.67, 12444.94, 14091.6, 17622.41, 19067.96, 20825.66, 24324.52, 27252.99, 28580.81, 34069.04, 35519.7]","[1, 2]"
31931.25,1.5,237872291.4099557,1.3126,"[7683.25, 17056.18, 20516.16, 26108.44, 28777.77, 33177.64, 36135.67, 36617.92, 36918.81, 37326.67, 12444.94, 14091.6, 17622.41, 19067.96, 20825.66, 24324.52, 27252.99, 28580.81, 34069.04, 35519.7, 15268.3, 18238.18, 18668.53, 21738.53, 22600.25, 23761.29, 27231.07, 29332.48, 30480.67, 35747.79]","[0, 1, 2, 3]"
31931.43,2.5,92335347.2510084,1.3126,"[12444.94, 14091.6, 17622.41, 19067.96, 20825.66, 24324.52, 27252.99, 28580.81, 34069.04, 35519.7, 15268.3, 18238.18, 18668.53, 21738.53, 22600.25, 23761.29, 27231.07, 29332.48, 30480.67, 35747.79, 17718.65, 20180.67, 24322.62, 25567.99, 31348.24, 31799.3, 36184.92, 37109.22, 37701.69, 37992.12]","[1, 2, 3, 4]"
31931.94,0.5,74805573.30133636,1.3126,"[7683.25, 17056.18, 20516.16, 26108.44, 28777.77, 33177.64, 36135.67, 36617.92, 36918.81, 37326.67, 12444.94, 14091.6, 17622.41, 19067.96, 20825.66, 24324.52, 27252.99, 28580.81, 34069.04, 35519.7]","[1, 2]"
32338.66,1.5,210474852.05177277,1.3126,"[7683.25, 17056.18, 20516.16, 26108.44, 28777.77, 33177.64, 36135.67, 36617.92, 36918.81, 37326.67, 12444.94, 14091.6, 17622.41, 19067.96, 20825.66, 24324.52, 27252.99, 28580.81, 34069.04, 35519.7, 15268.3, 18238.18, 18668.53, 21738.53, 22600.25, 23761.29, 27231.07, 29332.48, 30480.67, 35747.79]","[0, 1, 2, 3]"
32603.06,4.5,148634.6528621336,1.3126,"[17718.65, 20180.67, 24322.62, 25567.99, 31348.24, 31799.3, 36184.92, 37109.22, 37701.69, 37992.12, 20485.53, 33211.36, 36076.5, 38172.72, 39409.06, 39776.85, 40482.98, 41462.05, 42039.32, 42322.27, 35850.31, 41144.33, 41438.46, 43057.37, 44258.81, 45505.4, 45999.22, 46960.24]","[3, 4, 5, 6]"
32741.66,3.5,653178.4702913924,1.3126,"[15268.3, 18238.18, 18668.53, 21738.53, 22600.25, 23761.29, 27231.07, 29332.48, 30480.67, 35747.79, 17718.65, 20180.67, 24322.62, 25567.99, 31348.24, 31799.3, 36184.92, 37109.22, 37701.69, 37992.12, 20485.53, 33211.36, 36076.5, 38172.72, 39409.06, 39776.85, 40482.98, 41462.05, 42039.32, 42322.27]","[2, 3, 4, 5]"
32746.91,2.5,96578385.6776258,1.3126,"[12444.94, 14091.6, 17622.41, 19067.96, 20825.66, 24324.52, 27252.99, 28580.81, 34069.04, 35519.7, 15268.3, 18238.18, 18668.53, 21738.53, 22600.25, 23761.29, 27231.07, 29332.48, 30480.67, 35747.79, 17718.65, 20180.67, 24322.62, 25567.99, 31348.24, 31799.3, 36184.92, 37109.22, 37701.69, 37992.12]","[1, 2, 3, 4]"
33177.64,0.5,1608535404.9810658,1.3126,"[12702.13, 15992.65, 21949.39, 26726.51, 27993.03, 30804.22, 31846.87, 31931.94, 35992.1, 36372.64, 0.09, 8940.45, 12711.04, 14769.6, 18698.58, 23137.87, 27252.33, 28360.88, 31931.25, 32338.66]","[1, 2]"
33211.36,4.5,70540978.45528476,1.3126,"[9723.7, 15428.71, 18331.22, 24014.42, 27333.41, 32741.66, 34698.13, 36853.11, 36952.85, 37823.74, 11594.54, 16944.85, 25183.8, 27716.6, 32603.06, 37800.65, 39251.26, 39889.95, 41947.76, 42388.06, 29466.4, 41506.32, 43296.79, 43901.26, 44020.93, 45917.72, 46305.1, 46435.72]","[3, 4, 5, 6]"
34069.04,1.5,2891732845.5485616,1.3126,"[12702.13, 15992.65, 21949.39, 26726.51, 27993.03, 30804.22, 31846.87, 31931.94, 35992.1, 36372.64, 0.09, 8940.45, 12711.04, 14769.6, 18698.58, 23137.87, 27252.33, 28360.88, 31931.25, 32338.66, 2321.66, 9124.31, 13175.62, 14522.13, 17216.64, 22984.2, 27534.45, 30286.07, 31931.43, 32746.91]","[0, 1, 2, 3]"
34698.13,3.5,34299223.29614996,1.3126,"[15268.3, 18238.18, 18668.53, 21738.53, 22600.25, 23761.29, 27231.07, 29332.48, 30480.67, 35747.79, 17718.65, 20180.67, 24322.62, 25567.99, 31348.24, 31799.3, 36184.92, 37109.22, 37701.69, 37992.12, 20485.53, 33211.36, 36076.5, 38172.72, 39409.06, 39776.85, 40482.98, 41462.05, 42039.32, 42322.27]","[2, 3, 4, 5]"
35519.7,1.5,186756904.6289927,1.3126,"[12702.13, 15992.65, 21949.39, 26726.51, 27993.03, 30804.22, 31846.87, 31931.94, 35992.1, 36372.64, 0.09, 8940.45, 12711.04, 14769.6, 18698.58, 23137.87, 27252.33, 28360.88, 31931.25, 32338.66, 2321.66, 9124.31, 13175.62, 14522.13, 17216.64, 22984.2, 27534.45, 30286.07, 31931.43, 32746.91]","[0, 1, 2, 3]"
35747.79,2.5,133707208.03406638,1.3126,"[0.09, 8940.45, 12711.04, 14769.6, 18698.58, 23137.87, 27252.33, 28360.88, 31931.25, 32338.66, 2321.66, 9124.31, 13175.62, 14522.13, 17216.64, 22984.2, 27534.45, 30286.07, 31931.43, 32746.91, 9723.7, 15428.71, 18331.22, 24014.42, 27333.41, 32741.66, 34698.13, 36853.11, 36952.85, 37823.74]","[1, 2, 3, 4]"
35850.31,5.5,84923915.77354015,1.3126,"[11594.54, 16944.85, 25183.8, 27716.6, 32603.06, 37800.65, 39251.26, 39889.95, 41947.76, 42388.06, 29466.4, 41506.32, 43296.79, 43901.26, 44020.93, 45917.72, 46305.1, 46435.72, 44047.29, 46320.33, 46993.83, 47213.18, 48164.11, 49614.71]","[4, 5, 6, 7]"
35992.1,0.5,88740213.83645518,1.3126,"[7683.25, 17056.18, 20516.16, 26108.44, 28777.77, 33177.64, 36135.67, 36617.92, 36918.81, 37326.67, 12444.94, 14091.6, 17622.41, 19067.96, 20825.66, 24324.52, 27252.99, 28580.81, 34069.04, 35519.7]","[1, 2]"
36076.5,4.5,27697445.361664247,1.3126,"[9723.7, 15428.71, 18331.22, 24014.42, 27333.41, 32741.66, 34698.13, 36853.11, 36952.85, 37823.74, 11594.54, 16944.85, 25183.8, 27716.6, 32603.06, 37800.65, 39251.26, 39889.95, 41947.76, 42388.06, 29466.4, 41506.32, 43296.79, 43901.26, 44020.93, 45917.72, 46305.1, 46435.72]","[3, 4, 5, 6]"
36135.67,0.5,145042713.561329,1.3126,"[12702.13, 15992.65, 21949.39, 26726.51, 27993.03, 30804.22, 31846.87, 31931.94, 35992.1, 36372.64, 0.09, 8940.45, 12711.04, 14769.6, 18698.58, 23137.87, 27252.33, 28360.88, 31931.25, 32338.66]","[1, 2]"
36184.92,3.5,85856911.88197649,1.3126,"[2321.66, 9124.31, 13175.62, 14522.13, 17216.64, 22984.2, 27534.45, 30286.07, 31931.43, 32746.91, 9723.7, 15428.71, 18331.22, 24014.42, 27333.41, 32741.66, 34698.13, 36853.11, 36952.85, 37823.74, 11594.54, 16944.85, 25183.8, 27716.6, 32603.06, 37800.65, 39251.26, 39889.95, 41947.76, 42388.06]","[2, 3, 4, 5]"
36372.64,0.5,596780423.1442165,1.3126,"[7683.25, 17056.18, 20516.16, 26108.44, 28777.77, 33177.64, 36135.67, 36617.92, 36918.81, 37326.67, 12444.94, 14091.6, 17622.41, 19067.96, 20825.66, 24324.52, 27252.99, 28580.81, 34069.04, 35519.7]","[1, 2]"
36617.92,0.5,25681798.353979632,1.3126,"[12702.13, 15992.65, 21949.39, 26726.51, 27993.03, 30804.22, 31846.87, 31931.94, 35992.1, 36372.64, 0.09, 8940.45, 12711.04, 14769.6, 18698.58, 23137.87, 27252.33, 28360.88, 31931.25, 32338.66]","[1, 2]"
36853.11,3.5,88060534.43662508,1.3126,"[15268.3, 18238.18, 18668.53, 21738.53, 22600.25, 23761.29, 27231.07, 29332.48, 30480.67, 35747.79, 17718.65, 20180.67, 24322.62, 25567.99, 31348.24, 31799.3, 36184.92, 37109.22, 37701.69, 37992.12, 20485.53, 33211.36, 36076.5, 38172.72, 39409.06, 39776.85, 40482.98, 41462.05, 42039.32, 42322.27]","[2, 3, 4, 5]"
36918.81,0.5,93058075.73746233,1.3126,"[12702.13, 15992.65, 21949.39, 26726.51, 27993.03, 30804.22, 31846.87, 31931.94, 35992.1, 36372.64, 0.09, 8940.45, 12711.04, 14769.6, 18698.58, 23137.87, 27252.33, 28360.88, 31931.25, 32338.66]","[1, 2]"
36952.85,3.5,56736574.356074646,1.3126,"[15268.3, 18238.18, 18668.53, 21738.53, 22600.25, 23761.29, 27231.07, 29332.48, 30480.67, 35747.79, 17718.65, 20180.67, 24322.62, 25567.99, 31348.24, 31799.3, 36184.92, 37109.22, 37701.69, 37992.12, 20485.53, 33211.36, 36076.5, 38172.72, 39409.06, 39776.85, 40482.98, 41462.05, 42039.32, 42322.27]","[2, 3, 4, 5]"
37109.22,3.5,97478460.26009771,1.3126,"[2321.66, 9124.31, 13175.62, 14522.13, 17216.64, 22984.2, 27534.45, 30286.07, 31931.43, 32746.91, 9723.7, 15428.71, 18331.22, 24014.42, 27333.41, 32741.66, 34698.13, 36853.11, 36952.85, 37823.74, 11594.54, 16944.85, 25183.8, 27716.6, 32603.06, 37800.65, 39251.26, 39889.95, 41947.76, 42388.06]","[2, 3, 4, 5]"
37326.67,0.5,17489032.026846644,1.3126,"[12702.13, 15992.65, 21949.39, 26726.51, 27993.03, 30804.22, 31846.87, 31931.94, 35992.1, 36372.64, 0.09, 8940.45, 12711.04, 14769.6, 18698.58, 23137.87, 27252.33, 28360.88, 31931.25, 32338.66]","[1, 2]"
37701.69,3.5,66082041.66886343,1.3126,"[2321.66, 9124.31, 13175.62, 14522.13, 17216.64, 22984.2, 27534.45, 30286.07, 31931.43, 32746.91, 9723.7, 15428.71, 18331.22, 24014.42, 27333.41, 32741.66, 34698.13, 36853.11, 36952.85, 37823.74, 11594.54, 16944.85, 25183.8, 27716.6, 32603.06, 37800.65, 39251.26, 39889.95, 41947.76, 42388.06]","[2, 3, 4, 5]"
37800.65,4.5,471169813.57929313,1.3126,"[17718.65, 20180.67, 24322.62, 25567.99, 31348.24, 31799.3, 36184.92, 37109.22, 37701.69, 37992.12, 20485.53, 33211.36, 36076.5, 38172.72, 39409.06, 39776.85, 40482.98, 41462.05, 42039.32, 42322.27, 35850.31, 41144.33, 41438.46, 43057.37, 44258.81, 45505.4, 45999.22, 46960.24]","[3, 4, 5, 6]"
37823.74,3.5,120382399.97103733,1.3126,"[15268.3, 18238.18, 18668.53, 21738.53, 22600.25, 23761.29, 27231.07, 29332.48, 30480.67, 35747.79, 17718.65, 20180.67, 24322.62, 25567.99, 31348.24, 31799.3, 36184.92, 37109.22, 37701.69, 37992.12, 20485.53, 33211.36, 36076.5, 38172.72, 39409.06, 39776.85, 40482.98, 41462.05, 42039.32, 42322.27]","[2, 3, 4, 5]"
37992.12,3.5,19836276.527684223,1.3126,"[2321.66, 9124.31, 13175.62, 14522.13, 17216.64, 22984.2, 27534.45, 30286.07, 31931.43, 32746.91, 9723.7, 15428.71, 18331.22, 24014.42, 27333.41, 32741.66, 34698.13, 36853.11, 36952.85, 37823.74, 11594.54, 16944.85, 25183.8, 27716.6, 32603.06, 37800.65, 39251.26, 39889.95, 41947.76, 42388.06]","[2, 3, 4, 5]"
38172.72,4.5,48141441.36449455,1.3126,"[9723.7, 15428.71, 18331.22, 24014.42, 27333.41, 32741.66, 34698.13, 36853.11, 36952.85, 37823.74, 11594.54, 16944.85, 25183.8, 27716.6, 32603.06, 37800.65, 39251.26, 39889.95, 41947.76, 42388.06, 29466.4, 41506.32, 43296.79, 43901.26, 44020.93, 45917.72, 46305.1, 46435.72]","[3, 4, 5, 6]"
39251.26,4.5,286603.0026836828,1.3126,"[17718.65, 20180.67, 24322.62, 25567.99, 31348.24, 31799.3, 36184.92, 37109.22, 37701.69, 37992.12, 20485.53, 33211.36, 36076.5, 38172.72, 39409.06, 39776.85, 40482.98, 41462.05, 42039.32, 42322.27, 35850.31, 41144.33, 41438.46, 43057.37, 44258.81, 45505.4, 45999.22, 46960.24]","[3, 4, 5, 6]"
39409.06,4.5,27842606.398181386,1.3126,"[9723.7, 15428.71, 18331.22, 24014.42, 27333.41, 32741.66, 34698.13, 36853.11, 36952.85, 37823.74, 11594.54, 16944.85, 25183.8, 27716.6, 32603.06, 37800.65, 39251.26, 39889.95, 41947.76, 42388.06, 29466.4, 41506.32, 43296.79, 43901.26, 44020.93, 45917.72, 46305.1, 46435.72]","[3, 4, 5, 6]"
39776.85,4.5,29152592.468094368,1.3126,"[9723.7, 15428.71, 18331.22, 24014.42, 27333.41, 32741.66, 34698.13, 36853.11, 36952.85, 37823.74, 11594.54, 16944.85, 25183.8, 27716.6, 32603.06, 37800.65, 39251.26, 39889.95, 41947.76, 42388.06, 29466.4, 41506.32, 43296.79, 43901.26, 44020.93, 45917.72, 46305.1, 46435.72]","[3, 4, 5, 6]"
39889.95,4.5,53748238.28471257,1.3126,"[17718.65, 20180.67, 24322.62, 25567.99, 31348.24, 31799.3, 36184.92, 37109.22, 37701.69, 37992.12, 20485.53, 33211.36, 36076.5, 38172.72, 39409.06, 39776.85, 40482.98, 41462.05, 42039.32, 42322.27, 35850.31, 41144.33, 41438.46, 43057.37, 44258.81, 45505.4, 45999.22, 46960.24]","[3, 4, 5, 6]"
40482.98,4.5,82266240.51420334,1.3126,"[9723.7, 15428.71, 18331.22, 24014.42, 27333.41, 32741.66, 34698.13, 36853.11, 36952.85, 37823.74, 11594.54, 16944.85, 25183.8, 27716.6, 32603.06, 37800.65, 39251.26, 39889.95, 41947.76, 42388.06, 29466.4, 41506.32, 43296.79, 43901.26, 44020.93, 45917.72, 46305.1, 46435.72]","[3, 4, 5, 6]"
41144.33,5.5,33254013.61335655,1.3126,"[11594.54, 16944.85, 25183.8, 27716.6, 32603.06, 37800.65, 39251.26, 39889.95, 41947.76, 42388.06, 29466.4, 41506.32, 43296.79, 43901.26, 44020.93, 45917.72, 46305.1, 46435.72, 44047.29, 46320.33, 46993.83, 47213.18, 48164.11, 49614.71]","[4, 5, 6, 7]"
41438.46,5.5,42899487.24195089,1.3126,"[11594.54, 16944.85, 25183.8, 27716.6, 32603.06, 37800.65, 39251.26, 39889.95, 41947.76, 42388.06, 29466.4, 41506.32, 43296.79, 43901.26, 44020.93, 45917.72, 46305.1, 46435.72, 44047.29, 46320.33, 46993.83, 47213.18, 48164.11, 49614.71]","[4, 5, 6, 7]"
41462.05,4.5,100238023.1993196,1.3126,"[9723.7, 15428.71, 18331.22, 24014.42, 27333.41, 32741.66, 34698.13, 36853.11, 36952.85, 37823.74, 11594.54, 16944.85, 25183.8, 27716.6, 32603.06, 37800.65, 39251.26, 39889.95, 41947.76, 42388.06, 29466.4, 41506.32, 43296.79, 43901.26, 44020.93, 45917.72, 46305.1, 46435.72]","[3, 4, 5, 6]"
41506.32,5.5,106040802.77489299,1.3126,"[20485.53, 33211.36, 36076.5, 38172.72, 39409.06, 39776.85, 40482.98, 41462.05, 42039.32, 42322.27, 35850.31, 41144.33, 41438.46, 43057.37, 44258.81, 45505.4, 45999.22, 46960.24, 43397.83, 45598.23, 48430.4, 52234.56, 56828.64, 63643.27]","[4, 5, 6, 7]"
41947.76,4.5,69027627.81850258,1.3126,"[17718.65, 20180.67, 24322.62, 25567.99, 31348.24, 31799.3, 36184.92, 37109.22, 37701.69, 37992.12, 20485.53, 33211.36, 36076.5, 38172.72, 39409.06, 39776.85, 40482.98, 41462.05, 42039.32, 42322.27, 35850.31, 41144.33, 41438.46, 43057.37, 44258.81, 45505.4, 45999.22, 46960.24]","[3, 4, 5, 6]"
42039.32,4.5,29357124.203401964,1.3126,"[9723.7, 15428.71, 18331.22, 24014.42, 27333.41, 32741.66, 34698.13, 36853.11, 36952.85, 37823.74, 11594.54, 16944.85, 25183.8, 27716.6, 32603.06, 37800.65, 39251.26, 39889.95, 41947.76, 42388.06, 29466.4, 41506.32, 43296.79, 43901.26, 44020.93, 45917.72, 46305.1, 46435.72]","[3, 4, 5, 6]"
42322.27,4.5,100710023.15691172,1.3126,"[9723.7, 15428.71, 18331.22, 24014.42, 27333.41, 32741.66, 34698.13, 36853.11, 36952.85, 37823.74, 11594.54, 16944.85, 25183.8, 27716.6, 32603.06, 37800.65, 39251.26, 39889.95, 41947.76, 42388.06, 29466.4, 41506.32, 43296.79, 43901.26, 44020.93, 45917.72, 46305.1, 46435.72]","[3, 4, 5, 6]"
42388.06,4.5,6154634.719237516,1.3126,"[17718.65, 20180.67, 24322.62, 25567.99, 31348.24, 31799.3, 36184.92, 37109.22, 37701.69, 37992.12, 20485.53, 33211.36, 36076.5, 38172.72, 39409.06, 39776.85, 40482.98, 41462.05, 42039.32, 42322.27, 35850.31, 41144.33, 41438.46, 43057.37, 44258.81, 45505.4, 45999.22, 46960.24]","[3, 4, 5, 6]"
43057.37,5.5,9310649.36974306,1.3126,"[11594.54, 16944.85, 25183.8, 27716.6, 32603.06, 37800.65, 39251.26, 39889.95, 41947.76, 42388.06, 29466.4, 41506.32, 43296.79, 43901.26, 44020.93, 45917.72, 46305.1, 46435.72, 44047.29, 46320.33, 46993.83, 47213.18, 48164.11, 49614.71]","[4, 5, 6, 7]"
43296.79,5.5,1441165.4383622315,1.3126,"[20485.53, 33211.36, 36076.5, 38172.72, 39409.06, 39776.85, 40482.98, 41462.05, 42039.32, 42322.27, 35850.31, 41144.33, 41438.46, 43057.37, 44258.81, 45505.4, 45999.22, 46960.24, 43397.83, 45598.23, 48430.4, 52234.56, 56828.64, 63643.27]","[4, 5, 6, 7]"
43397.83,6.5,605642.477142796,1.3126,"[29466.4, 41506.32, 43296.79, 43901.26, 44020.93, 45917.72, 46305.1, 46435.72, 44047.29, 46320.33, 46993.83, 47213.18, 48164.11, 49614.71]","[5, 6, 7, 8]"
43901.26,5.5,611648.0180608373,1.3126,"[20485.53, 33211.36, 36076.5, 38172.72, 39409.06, 39776.85, 40482.98, 41462.05, 42039.32, 42322.27, 35850.31, 41144.33, 41438.46, 43057.37, 44258.81, 45505.4, 45999.22, 46960.24, 43397.83, 45598.23, 48430.4, 52234.56, 56828.64, 63643.27]","[4, 5, 6, 7]"
44020.93,5.5,1617660.789076877,1.3126,"[20485.53, 33211.36, 36076.5, 38172.72, 39409.06, 39776.85, 40482.98, 41462.05, 42039.32, 42322.27, 35850.31, 41144.33, 41438.46, 43057.37, 44258.81, 45505.4, 45999.22, 46960.24, 43397.83, 45598.23, 48430.4, 52234.56, 56828.64, 63643.27]","[4, 5, 6, 7]"
44047.29,6.5,1157440.192145766,1.3126,"[35850.31, 41144.33, 41438.46, 43057.37, 44258.81, 45505.4, 45999.22, 46960.24, 43397.83, 45598.23, 48430.4, 52234.56, 56828.64, 63643.27]","[5, 6, 7, 8]"
44258.81,5.5,51957249.27739062,1.3126,"[11594.54, 16944.85, 25183.8, 27716.6, 32603.06, 37800.65, 39251.26, 39889.95, 41947.76, 42388.06, 29466.4, 41506.32, 43296.79, 43901.26, 44020.93, 45917.72, 46305.1, 46435.72, 44047.29, 46320.33, 46993.83, 47213.18, 48164.11, 49614.71]","[4, 5, 6, 7]"
45505.4,5.5,65388344.12505094,1.3126,"[11594.54, 16944.85, 25183.8, 27716.6, 32603.06, 37800.65, 39251.26, 39889.95, 41947.76, 42388.06, 29466.4, 41506.32, 43296.79, 43901.26, 44020.93, 45917.72, 46305.1, 46435.72, 44047.29, 46320.33, 46993.83, 47213.18, 48164.11, 49614.71]","[4, 5, 6, 7]"
45598.23,6.5,3082345.1082099383,1.3126,"[29466.4, 41506.32, 43296.79, 43901.26, 44020.93, 45917.72, 46305.1, 46435.72, 44047.29, 46320.33, 46993.83, 47213.18, 48164.11, 49614.71]","[5, 6, 7, 8]"
45917.72,5.5,26137329.621334285,1.3126,"[20485.53, 33211.36, 36076.5, 38172.72, 39409.06, 39776.85, 40482.98, 41462.05, 42039.32, 42322.27, 35850.31, 41144.33, 41438.46, 43057.37, 44258.81, 45505.4, 45999.22, 46960.24, 43397.83, 45598.23, 48430.4, 52234.56, 56828.64, 63643.27]","[4, 5, 6, 7]"
45999.22,5.5,12166115.707310218,1.3126,"[11594.54, 16944.85, 25183.8, 27716.6, 32603.06, 37800.65, 39251.26, 39889.95, 41947.76, 42388.06, 29466.4, 41506.32, 43296.79, 43901.26, 44020.93, 45917.72, 46305.1, 46435.72, 44047.29, 46320.33, 46993.83, 47213.18, 48164.11, 49614.71]","[4, 5, 6, 7]"
46305.1,5.5,1559683.2408044692,1.3126,"[20485.53, 33211.36, 36076.5, 38172.72, 39409.06, 39776.85, 40482.98, 41462.05, 42039.32, 42322.27, 35850.31, 41144.33, 41438.46, 43057.37, 44258.81, 45505.4, 45999.22, 46960.24, 43397.83, 45598.23, 48430.4, 52234.56, 56828.64, 63643.27]","[4, 5, 6, 7]"
46320.33,6.5,6382744.443007276,1.3126,"[35850.31, 41144.33, 41438.46, 43057.37, 44258.81, 45505.4, 45999.22, 46960.24, 43397.83, 45598.23, 48430.4, 52234.56, 56828.64, 63643.27]","[5, 6, 7, 8]"
46435.72,5.5,4245429.245904344,1.3126,"[20485.53, 33211.36, 36076.5, 38172.72, 39409.06, 39776.85, 40482.98, 41462.05, 42039.32, 42322.27, 35850.31, 41144.33, 41438.46, 43057.37, 44258.81, 45505.4, 45999.22, 46960.24, 43397.83, 45598.23, 48430.4, 52234.56, 56828.64, 63643.27]","[4, 5, 6, 7]"
46960.24,5.5,127578246.4336426,1.3126,"[11594.54, 16944.85, 25183.8, 27716.6, 32603.06, 37800.65, 39251.26, 39889.95, 41947.76, 42388.06, 29466.4, 41506.32, 43296.79, 43901.26, 44020.93, 45917.72, 46305.1, 46435.72, 44047.29, 46320.33, 46993.83, 47213.18, 48164.11, 49614.71]","[4, 5, 6, 7]"
46993.83,6.5,1170004.1000466342,1.3126,"[35850.31, 41144.33, 41438.46, 43057.37, 44258.81, 45505.4, 45999.22, 46960.24, 43397.83, 45598.23, 48430.4, 52234.56, 56828.64, 63643.27]","[5, 6, 7, 8]"
47213.18,6.5,6041196.331926231,1.3126,"[35850.31, 41144.33, 41438.46, 43057.37, 44258.81, 45505.4, 45999.22, 46960.24, 43397.83, 45598.23, 48430.4, 52234.56, 56828.64, 63643.27]","[5, 6, 7, 8]"
48164.11,6.5,1745039.3689785292,1.3126,"[35850.31, 41144.33, 41438.46, 43057.37, 44258.81, 45505.4, 45999.22, 46960.24, 43397.83, 45598.23, 48430.4, 52234.56, 56828.64, 63643.27]","[5, 6, 7, 8]"
48430.4,6.5,5315415.297543866,1.3126,"[29466.4, 41506.32, 43296.79, 43901.26, 44020.93, 45917.72, 46305.1, 46435.72, 44047.29, 46320.33, 46993.83, 47213.18, 48164.11, 49614.71]","[5, 6, 7, 8]"
49614.71,6.5,7756399.089612828,1.3126,"[35850.31, 41144.33, 41438.46, 43057.37, 44258.81, 45505.4, 45999.22, 46960.24, 43397.83, 45598.23, 48430.4, 52234.56, 56828.64, 63643.27]","[5, 6, 7, 8]"
52234.56,6.5,3640833.5374146895,1.3126,"[29466.4, 41506.32, 43296.79, 43901.26, 44020.93, 45917.72, 46305.1, 46435.72, 44047.29, 46320.33, 46993.83, 47213.18, 48164.11, 49614.71]","[5, 6, 7, 8]"
56828.64,6.5,721120.0803243275,1.3126,"[29466.4, 41506.32, 43296.79, 43901.26, 44020.93, 45917.72, 46305.1, 46435.72, 44047.29, 46320.33, 46993.83, 47213.18, 48164.11, 49614.71]","[5, 6, 7, 8]"
63643.27,6.5,6058256.063902504,1.3126,"[29466.4, 41506.32, 43296.79, 43901.26, 44020.93, 45917.72, 46305.1, 46435.72, 44047.29, 46320.33, 46993.83, 47213.18, 48164.11, 49614.71]","[5, 6, 7, 8]"
